gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
3,7,2,-13,-313,3930,0.13,0.23,-1.54,-0.13,-3.13,39.30,-4.19,-0.70,81.00,2.66,0.26,-2.49
6,8,5,15,-337,3969,0.16,0.25,-1.36,0.15,-3.37,39.69,-4.20,-0.69,81.01,2.61,0.23,-2.51
8,6,10,-12,-306,3929,0.19,0.27,-1.16,-0.12,-3.06,39.29,-4.20,-0.67,81.01,2.56,0.25,-2.55
8,7,9,-4,-299,3904,0.22,0.28,-0.99,-0.04,-2.99,39.04,-4.21,-0.66,81.02,2.55,0.21,-2.54
-1,6,7,43,-267,3947,0.19,0.29,-0.85,0.43,-2.67,39.47,-4.19,-0.65,81.02,2.73,0.23,-2.51
-4,5,8,-17,-294,3884,0.15,0.29,-0.72,-0.17,-2.94,38.84,-4.19,-0.63,81.02,2.81,0.24,-2.52
-2,5,11,-30,-278,3908,0.12,0.29,-0.58,-0.30,-2.78,39.08,-4.19,-0.61,81.03,2.77,0.22,-2.54
1,11,11,-52,-317,3922,0.12,0.33,-0.45,-0.52,-3.17,39.22,-4.19,-0.60,81.03,2.72,0.08,-2.54
2,11,11,-46,-331,3937,0.12,0.37,-0.34,-0.46,-3.31,39.37,-4.20,-0.58,81.03,2.70,0.06,-2.53
0,5,12,-43,-318,3912,0.10,0.36,-0.23,-0.43,-3.18,39.12,-4.21,-0.56,81.03,2.75,0.17,-2.54
1,5,10,-37,-319,3918,0.10,0.35,-0.15,-0.37,-3.19,39.18,-4.21,-0.54,81.03,2.73,0.16,-2.52
4,7,2,-18,-292,3893,0.11,0.36,-0.12,-0.18,-2.92,38.93,-4.21,-0.52,81.03,2.67,0.10,-2.45
2,7,-1,-1,-281,3902,0.12,0.37,-0.12,-0.01,-2.81,39.02,-4.21,-0.50,81.03,2.71,0.09,-2.43
2,9,-5,7,-313,3947,0.12,0.39,-0.13,0.07,-3.13,39.47,-4.22,-0.49,81.03,2.71,0.03,-2.39
3,9,-2,-1,-320,3938,0.12,0.40,-0.13,-0.01,-3.20,39.38,-4.23,-0.47,81.03,2.70,0.02,-2.42
2,6,5,-9,-320,3921,0.12,0.40,-0.09,-0.09,-3.20,39.21,-4.24,-0.45,81.03,2.73,0.07,-2.48
2,4,6,-11,-325,3927,0.12,0.38,-0.04,-0.11,-3.25,39.27,-4.25,-0.44,81.03,2.73,0.10,-2.48
1,3,4,-52,-324,3916,0.12,0.36,-0.01,-0.52,-3.24,39.16,-4.26,-0.42,81.03,2.76,0.12,-2.47
0,-12,-6,-20,-222,3946,0.10,0.25,-0.05,-0.20,-2.22,39.46,-4.24,-0.41,81.03,2.77,0.44,-2.38
-4,-6,-40,-44,-389,3938,0.07,0.19,-0.29,-0.44,-3.89,39.38,-4.26,-0.40,81.04,2.87,0.33,-2.10
-3,-3,-32,-64,-385,3930,0.04,0.15,-0.46,-0.64,-3.85,39.30,-4.27,-0.38,81.04,2.87,0.27,-2.17
0,-1,-9,-2,-310,3910,0.04,0.13,-0.46,-0.02,-3.10,39.10,-4.28,-0.37,81.04,2.81,0.23,-2.37
0,-2,-6,-33,-317,3912,0.04,0.11,-0.45,-0.33,-3.17,39.12,-4.29,-0.35,81.04,2.82,0.24,-2.39
2,-1,-9,-42,-337,3924,0.04,0.09,-0.46,-0.42,-3.37,39.24,-4.30,-0.34,81.04,2.78,0.22,-2.37
2,-3,-9,-10,-321,3939,0.05,0.06,-0.47,-0.10,-3.21,39.39,-4.31,-0.32,81.04,2.79,0.26,-2.37
-1,-3,-6,-75,-340,3943,0.04,0.04,-0.46,-0.75,-3.40,39.43,-4.32,-0.30,81.05,2.86,0.25,-2.39
-2,-3,-6,-69,-339,3931,0.02,0.02,-0.45,-0.69,-3.39,39.31,-4.32,-0.29,81.05,2.89,0.25,-2.39
-4,-5,-7,5,-336,3928,-0.00,-0.02,-0.45,0.05,-3.36,39.28,-4.34,-0.28,81.05,2.95,0.29,-2.39
-5,-6,-8,-6,-322,3927,-0.03,-0.05,-0.45,-0.06,-3.22,39.27,-4.35,-0.27,81.05,2.98,0.31,-2.38
-1,-3,-12,-42,-289,3910,-0.04,-0.06,-0.48,-0.42,-2.89,39.10,-4.35,-0.25,81.05,2.90,0.24,-2.34
-1,-1,-12,-42,-283,3912,-0.04,-0.06,-0.51,-0.42,-2.83,39.12,-4.35,-0.23,81.06,2.90,0.19,-2.34
1,1,-6,-27,-301,3939,-0.03,-0.05,-0.49,-0.27,-3.01,39.39,-4.35,-0.21,81.06,2.86,0.14,-2.40
1,1,-6,-30,-312,3939,-0.02,-0.04,-0.48,-0.30,-3.12,39.39,-4.35,-0.20,81.06,2.86,0.12,-2.39
0,0,-4,-15,-322,3926,-0.02,-0.04,-0.46,-0.15,-3.22,39.26,-4.36,-0.18,81.06,2.89,0.13,-2.41
-1,0,-2,-24,-316,3937,-0.02,-0.03,-0.42,-0.24,-3.16,39.37,-4.37,-0.17,81.06,2.91,0.12,-2.43
-4,-1,-1,-14,-305,3931,-0.04,-0.04,-0.39,-0.14,-3.05,39.31,-4.37,-0.15,81.06,2.98,0.13,-2.43
-3,-1,-1,0,-305,3921,-0.06,-0.04,-0.35,0.00,-3.05,39.21,-4.38,-0.13,81.07,2.97,0.12,-2.43
1,0,-2,-7,-309,3925,-0.05,-0.03,-0.33,-0.07,-3.09,39.25,-4.39,-0.12,81.07,2.89,0.09,-2.42
1,0,-1,-8,-313,3929,-0.04,-0.03,-0.30,-0.08,-3.13,39.29,-4.40,-0.10,81.07,2.89,0.08,-2.43
3,0,-4,-9,-310,3919,-0.01,-0.03,-0.30,-0.09,-3.10,39.19,-4.41,-0.09,81.07,2.85,0.06,-2.41
4,0,-8,-22,-309,3912,0.01,-0.02,-0.32,-0.22,-3.09,39.12,-4.42,-0.07,81.07,2.83,0.05,-2.37
4,2,-7,-15,-315,3931,0.04,-0.01,-0.33,-0.15,-3.15,39.31,-4.42,-0.05,81.07,2.83,-0.00,-2.38
3,2,-5,-13,-313,3936,0.05,0.00,-0.33,-0.13,-3.13,39.36,-4.43,-0.04,81.07,2.85,-0.02,-2.40
-14,13,3,52,-263,3830,-0.04,0.08,-0.27,0.52,-2.63,38.30,-4.42,-0.05,81.07,3.21,-0.25,-2.47
-6,9,5,-9,-305,3907,-0.07,0.13,-0.22,-0.09,-3.05,39.07,-4.43,-0.03,81.07,3.06,-0.20,-2.48
0,0,6,7,-250,3954,-0.07,0.12,-0.16,0.07,-2.50,39.54,-4.41,-0.03,81.08,2.93,-0.01,-2.49
0,-3,-10,9,-249,3909,-0.06,0.09,-0.20,0.09,-2.49,39.09,-4.39,-0.04,81.08,2.91,0.06,-2.35
-3,-4,-2,-38,-379,3923,-0.07,0.05,-0.20,-0.38,-3.79,39.23,-4.41,-0.03,81.08,2.99,0.08,-2.42
-3,-4,1,-78,-365,3912,-0.08,0.02,-0.17,-0.78,-3.65,39.12,-4.42,-0.01,81.08,3.00,0.08,-2.45
-2,-1,-3,-50,-341,3909,-0.09,0.01,-0.17,-0.50,-3.41,39.09,-4.43,0.00,81.08,2.99,0.02,-2.41
-3,-1,-5,-37,-336,3915,-0.10,0.01,-0.18,-0.37,-3.36,39.15,-4.44,0.02,81.08,3.02,0.01,-2.40
-2,-4,-12,6,-326,3917,-0.10,-0.02,-0.24,0.06,-3.26,39.17,-4.46,0.01,81.08,3.01,0.08,-2.34
1,-6,-12,0,-343,3883,-0.08,-0.05,-0.29,0.00,-3.43,38.83,-4.48,0.01,81.08,2.96,0.13,-2.34
-1,-7,-14,-18,-346,3920,-0.08,-0.09,-0.35,-0.18,-3.46,39.20,-4.50,0.02,81.08,3.01,0.16,-2.32
-2,-3,-18,50,-395,3947,-0.08,-0.10,-0.42,0.50,-3.95,39.47,-4.51,0.01,81.08,3.04,0.08,-2.29
4,-4,-67,-27,-327,3890,-0.05,-0.11,-0.79,-0.27,-3.27,38.90,-4.52,0.02,81.09,2.92,0.10,-1.89
1,-7,-76,4,-346,3897,-0.04,-0.15,-1.17,0.04,-3.46,38.97,-4.54,0.02,81.09,2.99,0.17,-1.82
