gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
1,5,3,-42,-315,3916,0.08,0.25,0.36,-0.42,-3.15,39.16,-3.87,-1.03,83.25,2.51,0.51,-5.05
1,4,2,-31,-314,3909,0.08,0.25,0.34,-0.31,-3.14,39.09,-3.88,-1.01,83.25,2.52,0.52,-5.04
-1,0,1,-29,-321,3921,0.07,0.23,0.31,-0.29,-3.21,39.21,-3.89,-1.00,83.25,2.57,0.60,-5.03
-2,-2,-1,-23,-323,3904,0.05,0.19,0.27,-0.23,-3.23,39.04,-3.90,-0.98,83.24,2.60,0.63,-5.01
3,1,-7,-19,-311,3927,0.06,0.18,0.20,-0.19,-3.11,39.27,-3.91,-0.96,83.24,2.50,0.57,-4.95
4,-1,-8,-16,-308,3907,0.08,0.16,0.14,-0.16,-3.08,39.07,-3.91,-0.95,83.24,2.48,0.60,-4.94
4,0,-8,-19,-302,3929,0.10,0.14,0.07,-0.19,-3.02,39.29,-3.92,-0.93,83.24,2.48,0.57,-4.93
4,0,-8,-22,-283,3903,0.11,0.13,0.02,-0.22,-2.83,39.03,-3.92,-0.91,83.24,2.48,0.57,-4.93
-3,0,-44,11,-173,3913,0.08,0.11,-0.25,0.11,-1.73,39.13,-3.91,-0.90,83.24,2.62,0.56,-4.60
-4,-6,-62,-10,-189,3951,0.05,0.07,-0.61,-0.10,-1.89,39.51,-3.89,-0.89,83.25,2.64,0.69,-4.42
8,-4,-60,-35,-433,3942,0.09,0.03,-0.91,-0.35,-4.33,39.42,-3.91,-0.88,83.25,2.39,0.65,-4.41
5,-2,-35,-45,-436,3939,0.11,0.02,-1.03,-0.45,-4.36,39.39,-3.92,-0.87,83.25,2.46,0.61,-4.61
4,1,-10,-31,-316,3941,0.13,0.02,-0.99,-0.31,-3.16,39.41,-3.93,-0.85,83.26,2.48,0.54,-4.83
3,1,-7,-42,-328,3901,0.13,0.03,-0.94,-0.42,-3.28,39.01,-3.94,-0.84,83.26,2.50,0.53,-4.86
2,2,-14,-29,-246,3941,0.13,0.04,-0.93,-0.29,-2.46,39.41,-3.93,-0.82,83.26,2.52,0.49,-4.80
3,0,-30,-19,-204,3920,0.14,0.03,-1.02,-0.19,-2.04,39.20,-3.92,-0.81,83.27,2.49,0.52,-4.66
-2,-11,-150,55,-164,3900,0.11,-0.04,-1.83,0.55,-1.64,39.00,-3.90,-0.81,83.28,2.59,0.77,-3.58
2,-8,-161,53,-256,3852,0.11,-0.08,-2.63,0.53,-2.56,38.52,-3.88,-0.80,83.29,2.49,0.72,-3.42
3,-7,-99,-91,-538,4018,0.12,-0.12,-2.97,-0.91,-5.38,40.18,-3.90,-0.80,83.30,2.48,0.70,-3.92
0,-6,-66,-95,-539,3914,0.11,-0.14,-3.08,-0.95,-5.39,39.14,-3.91,-0.79,83.31,2.55,0.68,-4.19
