gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
0,-2,0,-7,-307,3909,-0.06,-0.12,-0.06,-0.07,-3.07,39.09,-3.77,-0.65,110.67,2.50,0.50,-9.95
0,0,-1,-14,-314,3907,-0.05,-0.10,-0.06,-0.14,-3.14,39.07,-3.78,-0.64,110.67,2.51,0.45,-9.94
-2,1,2,-4,-322,3927,-0.06,-0.09,-0.04,-0.04,-3.22,39.27,-3.79,-0.62,110.67,2.56,0.42,-9.97
-2,1,4,-12,-316,3920,-0.06,-0.07,-0.01,-0.12,-3.16,39.20,-3.81,-0.61,110.67,2.57,0.40,-9.99
0,2,8,-25,-311,3900,-0.06,-0.05,0.04,-0.25,-3.11,39.00,-3.82,-0.60,110.66,2.54,0.37,-10.03
2,2,9,26,-276,3926,-0.04,-0.04,0.09,0.26,-2.76,39.26,-3.83,-0.58,110.66,2.50,0.35,-10.05
1,3,8,14,-287,3898,-0.03,-0.01,0.13,0.14,-2.87,38.98,-3.84,-0.57,110.66,2.52,0.32,-10.05
1,0,5,17,-298,3879,-0.02,-0.01,0.15,0.17,-2.98,38.79,-3.86,-0.56,110.66,2.53,0.37,-10.03
2,0,-1,-11,-313,3919,-0.01,-0.01,0.13,-0.11,-3.13,39.19,-3.87,-0.55,110.66,2.52,0.37,-9.98
2,1,-1,-8,-312,3906,0.01,-0.00,0.11,-0.08,-3.12,39.06,-3.89,-0.54,110.66,2.52,0.33,-9.97
1,0,-1,-13,-320,3918,0.01,-0.00,0.09,-0.13,-3.20,39.18,-3.90,-0.52,110.66,2.55,0.35,-9.97
-3,-4,-1,-16,-311,3911,-0.01,-0.03,0.07,-0.16,-3.11,39.11,-3.91,-0.51,110.66,2.64,0.43,-9.97
-2,-4,-1,-11,-315,3914,-0.02,-0.05,0.06,-0.11,-3.15,39.14,-3.92,-0.50,110.66,2.64,0.42,-9.96
-1,-5,5,-18,-328,3913,-0.02,-0.07,0.09,-0.18,-3.28,39.13,-3.94,-0.49,110.66,2.63,0.44,-10.02
-1,-5,7,-4,-303,3924,-0.03,-0.10,0.12,-0.04,-3.03,39.24,-3.95,-0.47,110.66,2.64,0.44,-10.04
-2,-1,12,-11,-303,3918,-0.04,-0.09,0.18,-0.11,-3.03,39.18,-3.96,-0.46,110.66,2.67,0.35,-10.10
-2,0,12,10,-303,3913,-0.04,-0.08,0.24,0.10,-3.03,39.13,-3.98,-0.45,110.66,2.68,0.32,-10.11
0,-1,3,2,-295,3895,-0.04,-0.08,0.23,0.02,-2.95,38.95,-3.99,-0.43,110.66,2.64,0.33,-10.03
1,-1,1,1,-301,3904,-0.03,-0.08,0.21,0.01,-3.01,39.04,-4.00,-0.42,110.66,2.63,0.32,-10.01
4,-4,-1,-83,-347,3835,-0.00,-0.10,0.19,-0.83,-3.47,38.35,-4.01,-0.41,110.65,2.57,0.38,-9.99
-5,-11,-6,-41,-322,4001,-0.03,-0.15,0.13,-0.41,-3.22,40.01,-4.02,-0.39,110.65,2.77,0.52,-9.93
-4,-12,0,-56,-339,3938,-0.05,-0.21,0.12,-0.56,-3.39,39.38,-4.03,-0.38,110.65,2.76,0.55,-9.98
-2,-13,-1,-78,-348,3920,-0.06,-0.27,0.10,-0.78,-3.48,39.20,-4.04,-0.36,110.65,2.73,0.58,-9.97
0,-13,-16,-94,-342,3903,-0.05,-0.32,-0.01,-0.94,-3.42,39.03,-4.05,-0.35,110.65,2.69,0.58,-9.82
-2,-16,-21,-100,-345,3892,-0.06,-0.39,-0.13,-1.00,-3.45,38.92,-4.06,-0.33,110.65,2.74,0.65,-9.76
7,-11,-48,48,-183,3983,-0.01,-0.42,-0.41,0.48,-1.83,39.83,-4.04,-0.34,110.65,2.53,0.56,-9.47
5,-3,-38,93,-178,3916,0.02,-0.39,-0.60,0.93,-1.78,39.16,-4.03,-0.35,110.66,2.55,0.40,-9.52
3,3,-28,77,-274,3935,0.04,-0.34,-0.71,0.77,-2.74,39.35,-4.03,-0.37,110.66,2.59,0.28,-9.59
2,2,-23,62,-296,3936,0.04,-0.29,-0.78,0.62,-2.96,39.36,-4.04,-0.39,110.66,2.61,0.30,-9.62
-2,-2,-4,7,-320,3919,0.03,-0.27,-0.73,0.07,-3.20,39.19,-4.05,-0.38,110.67,2.71,0.37,-9.79
-1,-2,-1,-13,-314,3920,0.02,-0.26,-0.66,-0.13,-3.14,39.20,-4.07,-0.37,110.67,2.70,0.36,-9.82
0,-1,2,-10,-315,3905,0.02,-0.24,-0.58,-0.10,-3.15,39.05,-4.08,-0.36,110.67,2.69,0.32,-9.87
-1,-1,0,-34,-340,3904,0.01,-0.22,-0.53,-0.34,-3.40,39.04,-4.09,-0.35,110.67,2.72,0.31,-9.86
1,3,-4,-14,-301,3915,0.01,-0.18,-0.50,-0.14,-3.01,39.15,-4.10,-0.33,110.67,2.68,0.21,-9.83
0,3,-4,-6,-301,3913,0.01,-0.14,-0.47,-0.06,-3.01,39.13,-4.11,-0.32,110.68,2.71,0.19,-9.84
2,1,-3,9,-312,3904,0.02,-0.12,-0.44,0.09,-3.12,39.04,-4.13,-0.31,110.68,2.68,0.22,-9.85
2,0,-3,6,-312,3908,0.03,-0.11,-0.42,0.06,-3.12,39.08,-4.14,-0.31,110.68,2.69,0.23,-9.86
2,1,-2,-15,-303,3926,0.04,-0.09,-0.39,-0.15,-3.03,39.26,-4.15,-0.29,110.68,2.69,0.20,-9.87
1,2,-2,-14,-305,3918,0.04,-0.07,-0.36,-0.14,-3.05,39.18,-4.16,-0.27,110.68,2.71,0.16,-9.88
1,2,-8,-3,-304,3902,0.05,-0.05,-0.37,-0.03,-3.04,39.02,-4.17,-0.26,110.68,2.72,0.15,-9.82
0,2,-9,-4,-305,3914,0.04,-0.04,-0.39,-0.04,-3.05,39.14,-4.19,-0.25,110.68,2.75,0.13,-9.81
0,3,-13,-4,-313,3913,0.04,-0.01,-0.43,-0.04,-3.13,39.13,-4.20,-0.24,110.69,2.76,0.10,-9.77
-1,2,-13,-5,-318,3902,0.03,0.00,-0.47,-0.05,-3.18,39.02,-4.22,-0.23,110.69,2.79,0.11,-9.76
-3,0,-3,3,-315,3913,0.01,0.00,-0.44,0.03,-3.15,39.13,-4.23,-0.22,110.69,2.85,0.14,-9.85
-2,1,-2,3,-314,3924,-0.01,0.01,-0.41,0.03,-3.14,39.24,-4.25,-0.21,110.69,2.85,0.12,-9.87
-1,0,-3,-16,-308,3907,-0.01,0.01,-0.39,-0.16,-3.08,39.07,-4.26,-0.19,110.69,2.83,0.13,-9.86
-1,1,-4,-17,-307,3918,-0.02,0.01,-0.37,-0.17,-3.07,39.18,-4.27,-0.18,110.69,2.84,0.09,-9.86
-1,1,-9,-20,-310,3922,-0.02,0.02,-0.39,-0.20,-3.10,39.22,-4.27,-0.16,110.70,2.85,0.08,-9.81
0,2,-9,-4,-318,3922,-0.02,0.03,-0.40,-0.04,-3.18,39.22,-4.29,-0.15,110.70,2.84,0.05,-9.81
-2,3,-3,-20,-310,3913,-0.03,0.04,-0.38,-0.20,-3.10,39.13,-4.30,-0.14,110.70,2.89,0.02,-9.86
-2,6,-4,4,-329,3914,-0.04,0.07,-0.37,0.04,-3.29,39.14,-4.32,-0.13,110.70,2.90,-0.05,-9.86
1,-1,-3,-22,-332,3924,-0.03,0.06,-0.35,-0.22,-3.32,39.24,-4.33,-0.12,110.70,2.85,0.08,-9.87
-4,-2,-2,-52,-344,3900,-0.05,0.04,-0.33,-0.52,-3.44,39.00,-4.34,-0.11,110.70,2.96,0.10,-9.88
0,5,-10,35,-255,3907,-0.05,0.07,-0.36,0.35,-2.55,39.07,-4.33,-0.12,110.70,2.87,-0.04,-9.81
-1,4,-7,26,-271,3925,-0.05,0.09,-0.36,0.26,-2.71,39.25,-4.31,-0.13,110.71,2.88,-0.02,-9.83
-2,1,-3,26,-315,3919,-0.05,0.08,-0.34,0.26,-3.15,39.19,-4.33,-0.14,110.71,2.91,0.05,-9.87
-4,-1,0,4,-318,3925,-0.07,0.07,-0.31,0.04,-3.18,39.25,-4.34,-0.13,110.71,2.97,0.09,-9.90
-7,1,4,-17,-306,3915,-0.11,0.07,-0.25,-0.17,-3.06,39.15,-4.35,-0.12,110.71,3.04,0.04,-9.95
-8,-2,9,40,-420,3987,-0.15,0.05,-0.17,0.40,-4.20,39.87,-4.37,-0.12,110.71,3.09,0.11,-10.01
0,10,61,-38,-234,3868,-0.13,0.11,0.22,-0.38,-2.34,38.68,-4.35,-0.11,110.71,2.91,-0.16,-10.52
2,7,26,40,-218,3909,-0.11,0.14,0.35,0.40,-2.18,39.09,-4.34,-0.12,110.71,2.85,-0.10,-10.25
-2,-2,6,-2,-296,3923,-0.11,0.11,0.35,-0.02,-2.96,39.23,-4.34,-0.10,110.71,2.93,0.07,-10.08
-3,-3,4,-1,-307,3924,-0.12,0.08,0.34,-0.01,-3.07,39.24,-4.35,-0.09,110.71,2.96,0.10,-10.06
-2,-1,0,-5,-306,3917,-0.12,0.07,0.31,-0.05,-3.06,39.17,-4.36,-0.07,110.70,2.95,0.05,-10.02
0,-1,0,-5,-305,3919,-0.10,0.06,0.28,-0.05,-3.05,39.19,-4.37,-0.05,110.70,2.91,0.04,-10.02
0,-1,0,4,-315,3921,-0.09,0.04,0.25,0.04,-3.15,39.21,-4.39,-0.05,110.70,2.92,0.04,-10.01
-2,-3,1,6,-320,3918,-0.10,0.02,0.23,0.06,-3.20,39.18,-4.41,-0.06,110.70,2.98,0.09,-10.02
-1,-1,-1,-12,-313,3915,-0.09,0.01,0.20,-0.12,-3.13,39.15,-4.42,-0.04,110.70,2.96,0.04,-9.99
-1,0,-1,-9,-317,3921,-0.09,0.01,0.18,-0.09,-3.17,39.21,-4.43,-0.03,110.70,2.97,0.02,-9.99
0,1,-1,-10,-309,3921,-0.08,0.02,0.15,-0.10,-3.09,39.21,-4.44,-0.01,110.70,2.95,-0.02,-9.98
0,0,0,-9,-301,3914,-0.07,0.01,0.14,-0.09,-3.01,39.14,-4.44,0.01,110.70,2.95,-0.01,-9.99
1,0,0,-5,-311,3919,-0.06,0.01,0.12,-0.05,-3.11,39.19,-4.45,0.02,110.70,2.93,-0.01,-9.99
