gyroADC_X,gyroADC_Y,gyroADC_Z,accADC_X,accADC_Y,accADC_Z,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,roll_IMU,pitch_IMU,yaw_IMU,roll_PID,pitch_PID,yaw_PID
-2,-2,3,11,-398,3913,-0.03,-0.05,0.36,0.11,-3.98,39.13,-4.16,-1.27,59.42,2.79,0.89,-8.92
-1,-2,4,-11,-331,3906,-0.03,-0.06,0.35,-0.11,-3.31,39.06,-4.17,-1.26,59.42,2.78,0.89,-8.99
-3,15,-8,9,-426,3949,-0.05,0.04,0.26,0.09,-4.26,39.49,-4.18,-1.25,59.42,2.83,0.51,-8.22
-11,11,-22,-27,-394,3913,-0.11,0.10,0.10,-0.27,-3.94,39.13,-4.20,-1.23,59.42,3.02,0.56,-7.36
-3,12,-18,19,-307,3898,-0.12,0.17,-0.02,0.19,-3.07,38.98,-4.20,-1.21,59.42,2.87,0.51,-7.70
-1,12,-9,14,-308,3891,-0.11,0.22,-0.07,0.14,-3.08,38.91,-4.21,-1.20,59.42,2.83,0.49,-8.34
-6,9,2,93,-274,3925,-0.14,0.26,-0.05,0.93,-2.74,39.25,-4.19,-1.21,59.42,2.93,0.54,-9.08
-3,14,-12,105,-266,3847,-0.14,0.32,-0.12,1.05,-2.66,38.47,-4.18,-1.22,59.42,2.86,0.43,-8.17
4,9,-93,51,-272,3854,-0.10,0.34,-0.68,0.51,-2.72,38.54,-4.18,-1.20,59.42,2.70,0.52,-2.99
4,10,-110,49,-328,3895,-0.07,0.37,-1.28,0.49,-3.28,38.95,-4.19,-1.19,59.42,2.70,0.48,-2.18
5,7,-112,-11,-431,3936,-0.03,0.37,-1.83,-0.11,-4.31,39.36,-4.21,-1.18,59.43,2.68,0.53,-2.35
29,30,-106,198,-945,4107,0.15,0.52,-2.30,1.98,-9.45,41.07,-4.23,-1.18,59.44,2.16,0.03,-3.02
34,25,41,-196,-719,4005,0.34,0.62,-1.82,-1.96,-7.19,40.05,-4.24,-1.17,59.45,2.01,0.09,-12.72
27,28,92,-194,-697,3738,0.47,0.73,-1.07,-1.94,-6.97,37.38,-4.25,-1.16,59.45,2.13,-0.00,-15.76
5,10,215,-154,-527,3747,0.46,0.72,0.34,-1.54,-5.27,37.47,-4.26,-1.14,59.45,2.59,0.35,-20.00
-22,-11,216,-297,-253,3796,0.28,0.58,1.63,-2.97,-2.53,37.96,-4.26,-1.12,59.44,3.19,0.81,-20.00
3,-8,116,30,-223,3715,0.27,0.47,2.17,0.30,-2.23,37.15,-4.25,-1.11,59.44,2.67,0.76,-15.56
15,28,93,-64,-351,3934,0.33,0.59,2.52,-0.64,-3.51,39.34,-4.25,-1.09,59.43,2.41,-0.01,-13.80
19,20,83,-142,-415,4101,0.41,0.66,2.78,-1.42,-4.15,41.01,-4.26,-1.07,59.41,2.31,0.12,-12.98
19,2,74,-27,-440,3814,0.49,0.60,2.95,-0.27,-4.40,38.14,-4.27,-1.05,59.40,2.30,0.49,-12.27
